,Lviv,Chernihiv,Dnipropetrovs'k,Uzhgorod,Kharkiv,Odesa,Poltava,Kiev,Zhytomyr,Khmelnytskyi,Vinnytsia,Cherkasy,Zaporizhia,Ternopil,Sumy
Lviv,0,706.462,818.944,247.465,1008.2,797.721,816.849,539.994,381.534,253.754,391.537,630.782,1089.847,135.711,873.205
Chernihiv,706.462,0,474.532,982.326,463.21,638.808,271.859,167.152,343.352,530.001,474.557,347.671,638.549,606.393,242.1
Dnipropetrovs'k,818.944,474.532,0,1045.793,374.024,299.558,269.849,496.723,650.096,578.139,435.425,250.663,309.164,707.977,450.497
Uzhgorod,247.465,982.326,1045.793,0,1276.303,1020.145,1084.952,808.097,674.394,476.178,613.961,853.206,1312.271,368.314,1141.307
Kharkiv,1008.2,463.21,374.024,1276.303,0,673.141,221.415,468.971,651.45,830.657,693.503,477.954,373.834,907.049,183.826
Odesa,797.721,638.808,299.558,1020.145,673.141,0,576.096,476.091,629.464,557.835,415.121,363.575,517.644,687.673,805.626
Poltava,816.849,271.859,269.849,1084.952,221.415,576.096,0,278.084,460.563,639.77,584.326,281.405,388.7,716.162,177.202
Kiev,539.994,167.152,496.723,808.097,468.971,476.091,278.084,0,184.273,363.48,308.036,187.602,646.077,439.872,333.211
Zhytomyr,381.534,343.352,650.096,674.394,651.45,629.464,460.563,184.273,0,260.881,259.706,373.58,828.299,316.688,509.501
Khmelnytskyi,253.754,530.001,578.139,476.178,830.657,557.835,639.77,363.48,260.881,0,141.068,390.357,849.422,143.487,693.669
Vinnytsia,391.537,474.557,435.425,613.961,693.503,415.121,584.326,308.036,259.706,141.068,0,257.145,716.21,281.27,640.904
Cherkasy,630.782,347.671,250.663,853.206,477.954,363.575,281.405,187.602,373.58,390.357,257.145,0,516.397,519.629,421.235
Zaporizhia,1089.847,638.549,309.164,1312.271,373.834,517.644,388.7,646.077,828.299,849.422,716.21,516.397,0,978.933,528.763
Ternopil,135.711,606.393,707.977,368.314,907.049,687.673,716.162,439.872,316.688,143.487,281.27,519.629,978.933,0,773.018
Sumy,873.205,242.1,450.497,1141.307,183.826,805.626,177.202,333.211,509.501,693.669,640.904,421.235,528.763,773.018,0
